doc_id,fname,sentence,sentence_without_stopwords,cooperative
1402,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"We approved, in assembly, the expansion to the state of São Paulo; We started expanding to the state of São","approved, assembly, expansion state São Paulo; started expanding state São Paulo, regions Sorocaba, Barueri Osasco; started Women's Committee Youth Committee, search new leaders.",COOP SICREDI AGROEMPRESARIAL
1411,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"We approved, in assembly, the expansion to the state of São Paulo; We started expanding to the state of São","approved, assembly, expansion state São Paulo; started expanding state São Paulo, regions Sorocaba, Barueri Osasco; started Women's Committee Youth Committee, search new leaders.",COOP SICREDI AGROEMPRESARIAL
1672,COOP SICREDI ALIANÇA\relatorio_2021_sicredi_alianca_rs_sc_es_web,"In 2021, Sicredi Aliança RS/SC/ES promoted 59 training meetings for the Crescer Program, with the participation of 584 members, covering","2021, Aliança RS/SC/ES promoted 59 training meetings Crescer Program, participation 584 members, covering Women, Young People, Individuals, Companies Agro segments.",COOP SICREDI ALIANÇA
2048,COOP SICREDI ALIANÇA\relatorio_2022_sicredi_alianca_rs_sc_es_-_web_-_baixa,“Much more than the celebration of 40 years of existence are the stories of thousands of men and women who,"“Much celebration 40 years existence stories thousands men women grateful formula pursuing goals achievement prosperity together,” concluded.",COOP SICREDI ALIANÇA
2163,COOP SICREDI ALIANÇA\relatorio_2022_sicredi_alianca_rs_sc_es_-_web_-_baixa,"According to the regulations, the project was connected to at least one of the 17 UN Sustainable Development Goals (SDGs)","According regulations, project connected least one 17 UN Sustainable Development Goals (SDGs) Brazil, are: Eradication Poverty; Zero Hunger Sustainable Agriculture; Health wellness; Quality education; Gender equality; Clean water sanitation; Clean Affordable Energy; Decent Work Economic Growth; Industry, Innovation Infrastructure; Reduction Inequalities; Sustainable Cities Communities; Responsible Consumption Production; Action Global Climate Change; Life Water; Earth Life; Peace, Justice Effective Institutions Partnerships Means Implementation.",COOP SICREDI ALIANÇA
2570,COOP SICREDI ALIANÇA RS_SC\relatorio_2021_sicredi_alianca_rs_sc_es_web,"In 2021, Sicredi Aliança RS/SC/ES promoted 59 training meetings for the Crescer Program, with the participation of 584 members, covering","2021, Aliança RS/SC/ES promoted 59 training meetings Crescer Program, participation 584 members, covering Women, Young People, Individuals, Companies Agro segments.",COOP SICREDI ALIANÇA RS_SC
2947,COOP SICREDI ALIANÇA RS_SC\relatorio_2022_sicredi_alianca_rs_sc_es_-_web_-_baixa,“Much more than the celebration of 40 years of existence are the stories of thousands of men and women who,"“Much celebration 40 years existence stories thousands men women grateful formula pursuing goals achievement prosperity together,” concluded.",COOP SICREDI ALIANÇA RS_SC
3062,COOP SICREDI ALIANÇA RS_SC\relatorio_2022_sicredi_alianca_rs_sc_es_-_web_-_baixa,"According to the regulation, the project was connected to at least one of the 17 UN Sustainable Development Goals (SDGs)","According regulation, project connected least one 17 UN Sustainable Development Goals (SDGs) Brazil, are: Eradication Poverty; Zero Hunger Sustainable Agriculture; Health wellness; Quality education; Gender equality; Clean water sanitation; Clean Affordable Energy; Decent Work Economic Growth; Industry, Innovation Infrastructure; Reduction Inequalities; Sustainable Cities Communities; Responsible Consumption Production; Action Global Climate Change; Life Water; Earth Life; Peace, Justice Effective Institutions Partnerships Means Implementation.",COOP SICREDI ALIANÇA RS_SC
3437,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2022_04_12_relatorio_2021_pronto,"We have a responsibility to ensure that everyone has the same opportunities for employment and growth, regardless of your social","responsibility ensure everyone opportunities employment growth, regardless social class, sexual orientation, age, gender, race, culture, religion whether disability not.",COOP SICREDI ALT SERRA RS_SC
3439,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2022_04_12_relatorio_2021_pronto,Employees by gender Employees by age group4.29% 3.07% 36.50% 44.48%11.66% over 50 years oldfrom 41 to 50 years oldfrom 31,"Employees gender Employees age group4.29% 3.07% 36.50% 44.48%11.66% 50 years oldfrom 41 50 years oldfrom 31 40 years oldfrom 21 30 years oldup 20 years old56.13% Female43.87% MaleODS Related:37 cooperative, encourage young people enter job market.",COOP SICREDI ALT SERRA RS_SC
3443,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2022_04_12_relatorio_2021_pronto,"However, it is already possible to observe an improvement in some indicators, such as the percentage of women and young","However, already possible observe improvement indicators, percentage women young people leadership spheres.",COOP SICREDI ALT SERRA RS_SC
3793,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,"Therefore, we constantly carry out actions that involve specific audiences, such as young people, women in agriculture, as well as","Therefore, constantly carry actions involve specific audiences, young people, women agriculture, well audiences micro small business owners.",COOP SICREDI ALT SERRA RS_SC
3794,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,"Check out the highlights: On 07/06 we were in São Joaquim holding a chat about Financial Education, with an audience","Check highlights: 07/06 São Joaquim holding chat Financial Education, audience 28 female entrepreneurs.",COOP SICREDI ALT SERRA RS_SC
3807,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,"We have a responsibility to ensure that everyone has the same opportunities for employment and growth, regardless of their social","responsibility ensure everyone opportunities employment growth, regardless social class, sexual orientation, age, gender, race, culture, religion, whether disability not.",COOP SICREDI ALT SERRA RS_SC
3809,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,Employees by gender Employees by age group Average of 33 years old 52% Female41% MaleRELATIONSHIPS AND COOPERATIVISM53 SICREDI ALTOS DA,"Employees gender Employees age group Average 33 years old 52% Female41% MaleRELATIONSHIPS COOPERATIVISM53 ALTOS DA SERRA RS/SC 202210 202111 2022In cooperative context, encourage entry young people job market.",COOP SICREDI ALT SERRA RS_SC
3813,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,People with Disabilities (PCD)Women in leadership positions TOTAL EMPLOYEES DECEMBER 2022: 369 YOUNG APPRENTICES / INTERNS23% Female 77% Male 2022,"People Disabilities (PCD)Women leadership positions TOTAL EMPLOYEES DECEMBER 2022: 369 YOUNG APPRENTICES / INTERNS23% Female 77% Male 2022 2021911 Opportunities54 55 ALTOS DA SERRA RS/SC 202205 Responsible Solutions56RESPONSIBLE SOLUTIONS SHAGS Promote Financial Education consider financial education essential tool promoting sustainable development members, businesses communities present.",COOP SICREDI ALT SERRA RS_SC
3859,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,"Credit for enterprises led by women A line of credit aimed at micro, small and medium-sized Brazilian companies led by","Credit enterprises led women line credit aimed micro, small medium-sized Brazilian companies led women.",COOP SICREDI ALT SERRA RS_SC
3860,COOP SICREDI ALT SERRA RS_SC\media_coop_filer_public_2023_05_02_relatorio_2022_-_digital,"The initiative includes the gender factor as a criterion for the use of resources, as well as other social and","initiative includes gender factor criterion use resources, well social environmental factors.",COOP SICREDI ALT SERRA RS_SC
4036,COOP SICREDI ALTA NOROESTE SP\relatorio_anual_2021_sicredi_alta_noroeste_sp_whats-11945918522868603044,"They are micro, small and medium-sized companies, supported with the cooperative objective of allocating resources to the generation of entrepreneurship","micro, small medium-sized companies, supported cooperative objective allocating resources generation entrepreneurship leadership opportunities, meet factors gender social environmental factors.",COOP SICREDI ALTA NOROESTE SP
4063,COOP SICREDI ALTA NOROESTE SP\relatorio_anual_2021_sicredi_alta_noroeste_sp_whats-11945918522868603044,We have a series of instruments that guarantee security and reliability to our members' investments Sicredi26 Annual Report 2021 Sicredi,"series instruments guarantee security reliability members' investments Sicredi26 Annual Report 2021 Alta Noroeste SP value people diversity initiatives Committees: Women Youth seek promote diversity form new leaders cooperativism, committees bring strength initiatives regions operate.",COOP SICREDI ALTA NOROESTE SP
4194,COOP SICREDI ALTA NOROESTE SP\relatorio_anual_2021_sicredi_alta_noroeste_sp_whats-11945918522868603044,Release of women's credit: More than R$9 million of Sicredi Alta Noroeste SP's credit resources were released to finance companies,Release women's credit: R$9 million Alta Noroeste SP's credit resources released finance companies led women cities region.,COOP SICREDI ALTA NOROESTE SP
4791,COOP SICREDI ARACAJU\relatorio_de_gestao_2022,"Credit for businesses led by women A line of credit aimed at micro, small and Brazilian medium-sized companies led by","Credit businesses led women line credit aimed micro, small Brazilian medium-sized companies led women.",COOP SICREDI ARACAJU
4792,COOP SICREDI ARACAJU\relatorio_de_gestao_2022,"The initiative includes the gender factor as a criterion for the use of resources, as well as other social and","initiative includes gender factor criterion use resources, well social environmental factors.",COOP SICREDI ARACAJU
4956,COOP SICREDI ARACAJU\tabela_de_tarifas_2024,"Through purchases made with participating cards, in the credit functionality and for the payment of annual fees, 1 (one) point","purchases made participating cards, credit functionality payment annual fees, 1 (one) point awarded Gold, Touch Empresarial cards; 1.5 points Platinum card 2 points MasterCard Black card, equivalent value every 1 (one) North American tourism dollar posted monthly invoice.",COOP SICREDI ARACAJU
5591,COOP SICREDI ARAXINGÚ\dfs_2023,"; Black .1. eauvulurawrmml and the old days of the del=<env.Ium:nKadev\:x>aseaPIla\ rmle Xaarexsadanuv mew a; sum wwwfluedn um-I71, mother mm","; Black .1. eauvulurawrmml old days del=<env.Ium:nKadev\:x>aseaPIla\ rmle Xaarexsadanuv mew a; sum wwwfluedn um-I71, mother mm Sobvz rm >I(e\1mvws>Gesm: 4: Mwzs > »um.aeau s4;.a.m..9e..w........m.4gmmm=.;,s.;...m..",COOP SICREDI ARAXINGÚ
6451,COOP SICREDI BIOMAS\demonstracoes_financeiras_2022,"EDUCAC - WOMEN COMMITTEE -2512.2 -914.27 -680.01 OTHER INCOME AND REVENUE/OPERATIONAL EXPENSES AND EXPENSES Other administrative expenses and expenses Technical,","EDUCAC - WOMEN COMMITTEE -2512.2 -914.27 -680.01 INCOME REVENUE/OPERATIONAL EXPENSES EXPENSES administrative expenses expenses Technical, social educational assistance expenses OTHERS_ING_OPERAC 805 8179900131 8179900131 ASSIST EXPENSES.",COOP SICREDI BIOMAS
6835,COOP SICREDI BIOMAS\relatorio_anual_2022_-_sicredi_biomas,"Credit for enterprises led by women A line of credit aimed at micro, small and medium-sized Brazilian companies led by","Credit enterprises led women line credit aimed micro, small medium-sized Brazilian companies led women.",COOP SICREDI BIOMAS
6836,COOP SICREDI BIOMAS\relatorio_anual_2022_-_sicredi_biomas,"The initiative includes the gender factor as a criterion for the use of resources, as well as other social and","initiative includes gender factor criterion use resources, well social environmental factors.",COOP SICREDI BIOMAS
7910,COOP SICREDI CAMINHO DAS ÁGUAS RS\revista-catavento-2023,"There was a 30% increase in new Black cards, which offer several benefits, including access to VIP lounges at the","30% increase new Black cards, offer several benefits, including access VIP lounges main airports.",COOP SICREDI CAMINHO DAS ÁGUAS RS
8114,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"They were instituted special credit lines: photovoltaic energy financing; promotional credit aimed at women called <Pink October=, and aimed at","instituted special credit lines: photovoltaic energy financing; promotional credit aimed women called <Pink October=, aimed men, <Blue November=.",COOP SICREDI CAMPO GRANDE
8115,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"For companies managed by women, a special line of credit was created with different terms.","companies managed women, special line credit created different terms.",COOP SICREDI CAMPO GRANDE
8149,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"Below, we list some initiatives carried out in 20 22: Women's Committee – After a break due to the pandemic","Below, list initiatives carried 20 22: Women's Committee – break due pandemic period, Campo Grande resumed Women's Committee Program, whose objective develop female leaders within cooperative, promoting gender equality, reinforcing commitment System signatory UN Global Compact 17 Sustainable Development Goals; Women's Committee linked SDG 5, <gender equality=.",COOP SICREDI CAMPO GRANDE
8150,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"The Sicredi Campo Grande Women's Committee has existed since 2019, when it was still a local and not a systemic","Campo Grande Women's Committee existed since 2019, still local systemic initiative.",COOP SICREDI CAMPO GRANDE
8151,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"Today, 26 women are part of the Program which, in 2022, promoted training meetings, election for new coordination, the members","Today, 26 women part Program which, 2022, promoted training meetings, election new coordination, members also participated 1st Women's SUMMIT Central BRC, held October 2022, Campo Grande.",COOP SICREDI CAMPO GRANDE
8152,COOP SICREDI CAMPO GRANDE\demonstracoes_financeiras_2022_-_sicredi_campo_grande_ms,"And, closing the year, the Women's Committee promoted a voluntary Christmas action at the Home for the Elderly, bringing positive","And, closing year, Women's Committee promoted voluntary Christmas action Home Elderly, bringing positive energy, snacks, gifts and, course, lots joy residents.",COOP SICREDI CAMPO GRANDE
8415,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"The group took the Cooperativism Route, visiting the Sicredi Administrative Center in Porto Alegre and visiting the city of Nova","group took Cooperativism Route, visiting Administrative Center Porto Alegre visiting city Nova Petrópolis, birthplace Cooperativism America Latina.Simple attitudes move world Volunteering - Social responsibility actions - Day C addition collecting food 2023 Assembly, cooperative organized/participated actions as: Arraiá que Coopera (3 tons food), Ticoop Food Collection ( 536 kilos food ), Lecture given Women's Committee Camapuã community: Quality Life Strategy entrepreneurial mothers, Donation school supplies Dionizio Antonio School Vieira, JaraguariChristmas Actions: OCB MS Cooperation Christmas – collected 600 kilos food 200 toys.",COOP SICREDI CAMPO GRANDE
8418,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"Sicredi Campo Grande participated in Summit Mulher, an event organized by Central Sicredi Brasil Central, where it took 42 women,","Campo Grande participated Summit Mulher, event organized Central Brasil Central, took 42 women, including Cooperative Managers Members Women's Committee.",COOP SICREDI CAMPO GRANDE
8419,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,The Women's Summit had as its theme: Female protagonism yields a better future.,Women's Summit theme: Female protagonism yields better future.,COOP SICREDI CAMPO GRANDE
8420,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"The Sicredi Women's Committee Program is a set of actions with associated women, with an educational purpose that seeks to","Women's Committee Program set actions associated women, educational purpose seeks promote gender equity, empowering women participate management levels organization, leading, undertaking promoting sustainable development economic, social environmental sense business model.",COOP SICREDI CAMPO GRANDE
8423,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"With the aim of developing women entrepreneurs, providing access to financial solutions and training related to entrepreneurship and local socio-economic","aim developing women entrepreneurs, providing access financial solutions training related entrepreneurship local socio-economic development, launched Capital Delas project 2023, developed Agência Parati.",COOP SICREDI CAMPO GRANDE
8424,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"In 2023, Capital Delas had 4 meetings with the following themes: Female Entrepreneurship, Financial Organization, Entrepreneurial Routine and Entrepreneurship in","2023, Capital Delas 4 meetings following themes: Female Entrepreneurship, Financial Organization, Entrepreneurial Routine Entrepreneurship 2024.",COOP SICREDI CAMPO GRANDE
8425,COOP SICREDI CAMPO GRANDE\informativo2023_sicredi_campo_grande_ms,"Between the 4 meetings, more than 80 women were able to exchange experiences, network and acquire knowledge.","4 meetings, 80 women able exchange experiences, network acquire knowledge.",COOP SICREDI CAMPO GRANDE
8487,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,"The program seeks to promote gender equity and empowerment, so that they participate more actively in the management of their","program seeks promote gender equity empowerment, participate actively management cooperatives protagonists communities.",COOP SICREDI CAMPO GRANDE
8488,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,Sicredi Campo Grande MS created its Women's Committee in 2019 and currently has 26 members.,Campo Grande MS created Women's Committee 2019 currently 26 members.,COOP SICREDI CAMPO GRANDE
8491,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,"Since the last election, the Sicredi CG Women's Committee has held training and development meetings, participated in events, promoting or","Since last election, CG Women's Committee held training development meetings, participated events, promoting supporting actions aimed program, cooperative community, associations, daycare centers shelters.",COOP SICREDI CAMPO GRANDE
8494,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,"Now under the new management, the committee participated in the 1st Women's Summit, held on October 28th by Central Sicredi","new management, committee participated 1st Women's Summit, held October 28th Central BRC, Campo Grande.",COOP SICREDI CAMPO GRANDE
8495,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,The event was marked by stories of women who have a history at Sicr edi.,event marked stories women history Sicr edi.,COOP SICREDI CAMPO GRANDE
8496,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,"Closing the year, the Women's Committee participated in the Cooperation Christmas, a voluntary action, which was held on December 15th","Closing year, Women's Committee participated Cooperation Christmas, voluntary action, held December 15th SIRPHA Lar Idoso, Campo Grande, distribution present, serving snacks spending afternoon socializing welcomed .26 women participants Women's Committee2022 - 2026 new management committee 22RELATIONSHIPS COOPERATIVISM23Promoting ﬁnancial educationRESPONSIBLE SOLUTIONS 823 children impacted7 municipalities covered+700 kilometers coveredCooperation Ponta Lápis innovative financial education program, launched 2020 Sicredi, based economic psychology science behavioral.",COOP SICREDI CAMPO GRANDE
8638,COOP SICREDI CAMPO GRANDE\relatorio_2022_vweb_,"Throughout the year, more than 10 thousand people were impacted by the programs and actions developed by the cooperative: União","Throughout year, 10 thousand people impacted programs actions developed cooperative: União F az Vida Program, Cooperativ na P onta Lápis, Crescer Program, Women Committee Sorte Grande Campaign.",COOP SICREDI CAMPO GRANDE
8651,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,Members of the Sicredi Campo Grande Women's Committee16 Annual Report 2021 Sicredi Campo Grande MS With financial education as one,"Members Campo Grande Women's Committee16 Annual Report 2021 Campo Grande MS financial education one bases generating positive impact society, Campo Grande participated 8th edition National Finance Week Financial Education (ENEF Week), initiative Brazilian Financial Education Forum (FBEF), held 8th 14th November.",COOP SICREDI CAMPO GRANDE
8712,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,"Several agencies were opened over the years, in 2019 Sicredi Campo Grande had a 19.3% growth in the number of","Several agencies opened years, 2019 Campo Grande 19.3% growth number members, launched Women's Committee, aim increasing participation female members developing actions based purpose, mission values.",COOP SICREDI CAMPO GRANDE
8760,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,"The action mobilized employees, associates and members of the Women's Committee.","action mobilized employees, associates members Women's Committee.",COOP SICREDI CAMPO GRANDE
8763,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,"The asylum serves approximately 85 elderly people and the marketing manager, Joyce Zanni explains that the Hygiene material is very","asylum serves approximately 85 elderly people marketing manager, Joyce Zanni explains Hygiene material important due daily care elderly men women receive, donation made maintains special link them.",COOP SICREDI CAMPO GRANDE
8812,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,Core Coordinators participate in training Topics related to the universe of cooperativism were addressed in the Core Coordinator Development Program.15,"Core Coordinators participate training Topics related universe cooperativism addressed Core Coordinator Development Program.15 Women's Committee program educational purpose promoting gender equity , empowering women participate management levels Cooperative, training, information education, lead, undertake promote sustainable development business model communities Campo Grande Women's Committee created beginning 2019 representation two associates agency, operating time.",COOP SICREDI CAMPO GRANDE
8815,COOP SICREDI CAMPO GRANDE\relatorio_anual_2021_sicredi_campo_grande_ms,"In 2021, the Sicredi Campo Grande Women's Committee held a series of 12 Workshops for all of the Cooperative's employees.","2021, Campo Grande Women's Committee held series 12 Workshops Cooperative's employees.",COOP SICREDI CAMPO GRANDE
8829,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,"Free and voluntary membership Cooperatives are voluntary organizations, open to everyone able to use its services and willing to accept","Free voluntary membership Cooperatives voluntary organizations, open everyone able use services willing accept responsibilities members, without gender, social, racial, political religious discrimination.",COOP SICREDI CAMPO GRANDE
8851,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,"Men and women, elected as representatives of the other members, are responsible to them.","Men women, elected representatives members, responsible them.",COOP SICREDI CAMPO GRANDE
8939,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,"com.br Donas do Negócio Program To promote the female entrepreneurship, the cooperative Sicredi União MS/TO e Oeste da Bahia, from","com.br Donas Negócio Program promote female entrepreneurship, cooperative União MS/TO e Oeste da Bahia, Central Brasil Central, develops Donas Negócio, portfolio aimed women seek become protagonists businesses careers.",COOP SICREDI CAMPO GRANDE
8942,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,"Furthermore, it helps these young women remain in the field, promoting local development.","Furthermore, helps young women remain field, promoting local development.",COOP SICREDI CAMPO GRANDE
8964,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,"The initiative focused on black people, immigrants, women, people belonging to the LGBTQIAP+ community, people over 50 years old, residents","initiative focused black people, immigrants, women, people belonging LGBTQIAP+ community, people 50 years old, residents areas needy people, people disabilities interest groups cooperatives.",COOP SICREDI CAMPO GRANDE
8974,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,Strengthen our governance model............ 60 Member participation ........................................... 60 Core coordinators ... ............................................. 63 Ethics and combating corruption ............................................... 64,"Strengthen governance model............ 60 Member participation ........................................... 60 Core coordinators ... ............................................. 63 Ethics combating corruption ............................................... 64 Cybersecurity .. .................................................... ..... 72 Spreading cooperativism sustainability .. 75 Institutional visit program ............................... 75 Crescer Program .............................................. .................. 76 Training cooperativism .................................. 78 Training sustainability ........ .......................... 79 Promote inclusion diversity ................... ... 80 Sustainability Guidelines Inclusion, Diversity Equity ................................... 80 Committee Inclusion, Diversity Equity .......... 81 Women's Committee ............................... .......................................... 82 Young Committee .................................................... .......................... 83 Channel accessibility .......................... ........................... 87Summary 2Chapter 3: Responsible solutions Shows generate value products, services, internal processes operations sustainable.",COOP SICREDI CAMPO GRANDE
9000,COOP SICREDI CAMPO GRANDE\relatorio_anual_de_sustentabilidade_2022,GRI 401-1 | Sicredi DL13 | DL14 | DL15 | DL17 154PROMOTE PERSONAL DEVELOPMENTMEDIA OF HOURS OF TRAINING PER EMPLOYEE,"GRI 401-1 | DL13 | DL14 | DL15 | DL17 154PROMOTE PERSONAL DEVELOPMENTMEDIA HOURS TRAINING PER EMPLOYEE REGARDING GENDER GRI 3-3 2020 2021 2022 Men 23 30 28 Women 25 30 30 TOTAL 24 30 29 AVERAGE HOURS TRAINING PER EMPLOYEE FUNCTIONAL CATEGORY (QUANTITY) GRI 404-1 | GRI 3-3 2020 2021 2022 Elected 8 6 19 Senior Leadership 14 14 18 Middle Leadership 27 30 27 Professionals 25 31 30 Technicians 10 27 25 Interns 16 26 29 Young Apprentice 9 20 20 TOTAL 24 30 29 AVERAGE HO TRAINING RAS PER EMPLOYEE PER ETHNIC/RACIAL PROFILE GRI 3-3 | DL16 ETHNICOMEDY PROFILE TRAINING HOURS 2021 2022 White 30 28 Black Brown 30 34.5 informed 30 – Yellow 36 31 Indigenous 28 12 TOTAL – – 155 SUSTAINABILITY REPORT 2022Integration new employees integration process aims welcome, introduce acculturate new employee organizational environment, introducing cooperativism, skills culture.",COOP SICREDI CAMPO GRANDE
